timestamp,open,high,low,close,volume
1704556800000,95.1226,95.283,95.1226,95.283,111
1704556860000,95.283,95.283,95.1338,95.2268,88
1704556920000,95.2268,95.2268,94.9335,95.0144,261
1704556980000,95.0144,95.1193,95.0144,95.0547,12
1704557040000,95.0547,95.2223,95.0061,95.2022,58
1704557100000,95.2022,95.3337,95.2022,95.2121,54
1704557160000,95.2121,95.3005,95.2121,95.3005,67
1704557220000,95.3005,95.4662,95.2801,95.3193,110
1704557280000,95.3193,95.4289,95.3149,95.4289,40
1704557340000,95.4289,95.4887,95.4111,95.4887,43
1704557400000,95.4887,95.4999,95.4006,95.4729,188
1704557460000,95.4729,95.9244,95.3848,95.9244,220
1704557520000,95.9244,96.0622,95.8414,95.9241,269
1704557580000,95.9241,96.1604,95.8735,96.1242,409
1704557640000,96.1242,96.2,95.8155,95.8903,234
1704557700000,95.8903,95.9347,95.6986,95.7561,314
1704557760000,95.7561,96.013,95.7561,95.8062,45
1704557820000,95.8062,95.8251,95.5416,95.6202,188
1704557880000,95.6202,95.6202,95.3392,95.3758,271
1704557940000,95.3758,95.4009,95.2022,95.3216,196
1704558000000,95.3216,95.596,95.3216,95.5186,170
1704558060000,95.5186,95.7238,95.469,95.637,238
1704558120000,95.637,95.6862,95.5477,95.6862,37
1704558180000,95.6862,95.6866,95.5873,95.6866,32
1704558240000,95.6866,95.7231,95.5966,95.6187,64
1704558300000,95.6187,95.6187,95.4808,95.4978,52
1704558360000,95.4978,95.716,95.4978,95.5869,146
1704558420000,95.5869,95.5869,95.4002,95.5291,231
1704558480000,95.5291,95.6064,95.3683,95.4435,117
1704558540000,95.4435,95.4435,95.2844,95.3547,208
1704558600000,95.3547,95.3658,95.2239,95.2319,154
1704558660000,95.2319,95.2955,95.0664,95.2282,270
1704558720000,95.2282,95.2282,95.1612,95.193,110
1704558780000,95.193,95.3795,95.1913,95.3428,78
1704558840000,95.3428,95.3428,95.0893,95.0893,37
1704558900000,95.0893,95.2488,95.0893,95.194,75
1704558960000,95.194,95.1985,95.1031,95.1031,40
1704559020000,95.1031,95.3087,95.1031,95.1686,42
1704559080000,95.1686,95.2778,95.1686,95.2178,42
1704559140000,95.2178,95.3364,95.1865,95.2867,160
1704559200000,95.2867,95.6709,95.2867,95.6544,123
1704559260000,95.6544,95.8397,95.6544,95.7829,98
1704559320000,95.7829,95.7829,95.7105,95.7105,27
1704559380000,95.7105,95.7833,95.6633,95.6674,43
1704559440000,95.6674,95.7002,95.5993,95.6457,59
1704559500000,95.6457,95.8891,95.5041,95.8787,128
