timestamp,open,high,low,close,volume
1702915200000,70.7065,70.9436,70.7065,70.9101,636
1702915260000,70.9101,71.1024,70.8879,70.8886,1291
1702915320000,70.8886,71.0177,70.8679,70.9429,378
1702915380000,70.9429,71.0275,70.8324,71.0,274
1702915440000,71.0,71.0,70.7442,70.7769,1031
1702915500000,70.7769,70.7769,70.4323,70.4323,1111
1702915560000,70.4323,70.5855,70.4323,70.4499,1288
1702915620000,70.4499,70.6421,70.4499,70.5813,818
1702915680000,70.5813,70.6697,70.496,70.5578,539
1702915740000,70.5578,70.591,70.4218,70.4777,1532
1702915800000,70.4777,70.6174,70.4777,70.5485,492
1702915860000,70.5485,70.7099,70.5485,70.6472,149
1702915920000,70.6472,70.8687,70.6311,70.8536,1063
1702915980000,70.8536,71.0979,70.8273,71.0979,825
1702916040000,71.0979,71.1844,70.9861,71.1844,558
1702916100000,71.1844,71.2861,71.0152,71.2861,321
1702916160000,71.2861,71.5249,71.2153,71.4514,2494
1702916220000,71.4514,71.611,71.2827,71.5264,1981
1702916280000,71.5264,71.5312,71.3471,71.4852,1187
1702916340000,71.4852,71.5273,71.378,71.4924,1101
1702916400000,71.4924,71.6108,71.4682,71.4682,1045
1702916460000,71.4682,71.5495,71.4682,71.4685,376
1702916520000,71.4685,71.65,71.4685,71.5785,922
1702916580000,71.5785,71.701,71.5406,71.6919,507
1702916640000,71.6919,71.6919,71.5917,71.6397,256
1702916700000,71.6397,71.7573,71.6386,71.646,1026
1702916760000,71.646,71.6971,71.4599,71.4887,1318
1702916820000,71.4887,71.5435,71.3422,71.5435,1254
1702916880000,71.5435,71.5512,71.4348,71.5285,589
1702916940000,71.5285,71.5285,71.3105,71.3108,737
1702917000000,71.3108,71.4466,71.2707,71.3854,693
1702917060000,71.3854,71.5681,71.3141,71.5681,897
1702917120000,71.5681,71.574,71.4121,71.4671,136
1702917180000,71.4671,71.5045,71.3696,71.3696,128
1702917240000,71.3696,71.4214,71.3293,71.4206,236
1702917300000,71.4206,71.4425,71.265,71.4335,232
1702917360000,71.4335,71.4739,71.3876,71.3876,190
1702917420000,71.3876,71.4684,71.2636,71.3306,218
1702917480000,71.3306,71.3306,71.1888,71.244,570
1702917540000,71.244,71.3362,71.1982,71.3362,405
1702917600000,71.3362,71.46,71.3056,71.3739,294
1702917660000,71.3739,71.547,71.3597,71.5109,284
1702917720000,71.5109,71.6289,71.4705,71.4949,180
1702917780000,71.4949,71.4949,71.374,71.4033,618
1702917840000,71.4033,71.4033,71.2544,71.3548,249
1702917900000,71.3548,71.4304,71.2781,71.33,309
1702917960000,71.33,71.3417,71.0601,71.1969,1427
1702918020000,71.1969,71.301,71.1447,71.2605,312
1702918080000,71.2605,71.4897,71.2605,71.4356,330
1702918140000,71.4356,71.4356,71.2861,71.3098,220
1702918200000,71.3098,71.5326,71.3098,71.486,248
1702918260000,71.486,71.65,71.486,71.5388,618
1702918320000,71.5388,71.7825,71.5388,71.6872,1128
1702918380000,71.6872,71.7265,71.575,71.5915,653
1702918440000,71.5915,71.6265,71.5245,71.5758,257
1702918500000,71.5758,71.6946,71.575,71.5871,835
1702918560000,71.5871,71.7695,71.5871,71.7433,501
1702918620000,71.7433,71.7979,71.7199,71.7199,86
1702918680000,71.7199,71.7419,71.6274,71.6657,192
1702918740000,71.6657,71.7666,71.6657,71.7423,155
